epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,11791.1,1.6723,1.33674,1.33319,0.92698,0.44444,0.56744,0.30673,1.81593,1.61125,1.52288,0.0011882,0.0011882,0.0011882
43,11960,1.5713,1.28188,1.28423,0.78323,0.57355,0.63382,0.32402,1.75077,1.41827,1.49063,0.0011684,0.0011684,0.0011684
44,12153,1.58195,1.31936,1.29264,0.82272,0.49206,0.60585,0.30125,1.96042,1.60885,1.61907,0.0011486,0.0011486,0.0011486
45,12355.6,1.57155,1.36785,1.27286,0.81373,0.53968,0.62959,0.33672,1.8243,1.48934,1.55232,0.0011288,0.0011288,0.0011288
46,12564.1,1.60155,1.32271,1.28109,0.73351,0.53968,0.60228,0.31273,1.7784,1.53448,1.46201,0.001109,0.001109,0.001109
47,12759.3,1.57268,1.23185,1.26529,0.73871,0.53968,0.62382,0.3178,1.88939,1.49893,1.57303,0.0010892,0.0010892,0.0010892
48,12944.3,1.54759,1.24565,1.29085,0.86329,0.5013,0.61402,0.34964,1.8723,1.43498,1.59602,0.0010694,0.0010694,0.0010694
49,13133.7,1.58477,1.35321,1.30494,0.79696,0.52381,0.61769,0.34317,1.79954,1.4619,1.53768,0.0010496,0.0010496,0.0010496
50,13323,1.52725,1.18074,1.27757,0.85615,0.47619,0.54824,0.30956,1.84543,1.67157,1.63321,0.0010298,0.0010298,0.0010298
51,13512.8,1.5245,1.23057,1.24961,0.69796,0.60317,0.60976,0.32197,1.80291,1.52745,1.47059,0.00101,0.00101,0.00101
52,13705.1,1.6046,1.30691,1.29336,0.72789,0.59451,0.60136,0.31214,1.87784,1.43143,1.46927,0.0009902,0.0009902,0.0009902
53,13862.1,1.52485,1.2271,1.238,0.79513,0.53968,0.63797,0.33211,1.87893,1.41305,1.55065,0.0009704,0.0009704,0.0009704
54,14007.2,1.55303,1.22717,1.26475,0.64476,0.5873,0.59491,0.32708,1.84213,1.42135,1.5862,0.0009506,0.0009506,0.0009506
55,14156.5,1.50836,1.15073,1.27483,0.7193,0.49206,0.59521,0.31542,1.83928,1.45187,1.53469,0.0009308,0.0009308,0.0009308
56,14314.3,1.47834,1.17735,1.24298,0.75549,0.52381,0.56387,0.3294,1.80439,1.46975,1.5236,0.000911,0.000911,0.000911
57,14463.8,1.45994,1.12751,1.22143,0.68976,0.55556,0.57496,0.30757,1.98237,1.40406,1.67612,0.0008912,0.0008912,0.0008912
58,14618.9,1.48801,1.23526,1.24298,0.79476,0.49206,0.55504,0.29874,1.88894,1.55141,1.57353,0.0008714,0.0008714,0.0008714
59,14770.1,1.44225,1.1815,1.225,0.88559,0.50794,0.62964,0.34568,1.70606,1.36786,1.44488,0.0008516,0.0008516,0.0008516
60,14937.6,1.43278,1.12994,1.20176,0.84636,0.53968,0.60241,0.34123,1.70452,1.43058,1.44676,0.0008318,0.0008318,0.0008318
61,15087.7,1.38186,1.13739,1.16236,0.8454,0.52381,0.57909,0.33193,1.82359,1.45149,1.51204,0.000812,0.000812,0.000812
62,15246.3,1.48074,1.12347,1.23069,0.78274,0.57143,0.65786,0.3368,1.86448,1.38973,1.63449,0.0007922,0.0007922,0.0007922
63,15392.1,1.45004,1.11402,1.20822,0.87067,0.53968,0.65076,0.3286,1.85338,1.40503,1.54983,0.0007724,0.0007724,0.0007724
